run_id,ts_start,ts_end,agent_id,agent_kind,scenario,task_id,task_kind,baseline_run,success,failure_reason,grader_results,exit_code,wall_time_sec,model,uncached_input_tokens,cached_read_tokens,cache_write_tokens,cache_write_ttl,output_tokens,billed_cost_usd,cost_source,cold_equivalent_cost_usd,cache_savings_usd,cache_read_rate,baseline_cost_usd,marginal_cost_usd,xcodebuild_calls,xcrun_calls,simctl_calls,time_to_first_xcodebuild_sec,xcodebuild_repeat_count,destination_count,destination_churn,mcp_tool_calls,tool_error_total,tool_error_mcp,tool_error_non_mcp,transcript_path,agent_output_json_path,command_log_path,mcp_tool_log_path,tool_error_log_path,tool_error_context_log_path,mcp_xcodebuild_calls,mcp_simctl_calls,time_to_first_mcp_build_sec
codex-shell_unprimed-baseline-baseline-1768949767118,2026-01-20T22:56:07.118644+00:00,2026-01-20T22:56:11.297531+00:00,codex,codex_cli,shell_unprimed,baseline,baseline,True,True,,,0,2.983731985092163,,1013,3200,0,,7,0.0024307499999999998,ccusage,0.00747075,0.00504,0.7595537621647283,,,0,0,0,,0,0,0,0,0,0,0,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-baseline-baseline-1768949767118/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-baseline-baseline-1768949767118/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-baseline-baseline-1768949767118/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-baseline-baseline-1768949767118/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-baseline-baseline-1768949767118/tool_error_context.jsonl,0,0,
codex-shell_unprimed-hn_offline_api_refactor-trial-1768949771381,2026-01-20T22:56:11.381502+00:00,2026-01-20T23:00:50.865580+00:00,codex,codex_cli,shell_unprimed,hn_offline_api_refactor,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.065}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 66.507}]",0,211.22632813453674,,38341,114176,0,,1701,0.19519745,ccusage,0.29071874999999997,0.09552129999999998,0.7486116301789308,0.0024307499999999998,0.19276669999999999,3,0,0,137.219653,1,2,1,0,2,0,2,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768949771381/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768949771381/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768949771381/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768949771381/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768949771381/tool_error_context.jsonl,0,0,
codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768950162362,2026-01-20T23:02:42.362604+00:00,2026-01-20T23:06:35.916946+00:00,codex,codex_cli,shell_unprimed,feature_from_task_md_fix_tests,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.065}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 48.936}, {'type': 'ios_install_check', 'ok': True, 'reason': None, 'duration_sec': 0.457}, {'type': 'ios_launch_check', 'ok': True, 'reason': None, 'duration_sec': 0.654}]",0,180.9233889579773,,30072,62080,0,,1376,0.13609785,ccusage,0.18053,0.044432150000000004,0.6736695893740776,0.0024307499999999998,0.13366709999999998,2,0,0,127.498049,0,2,1,0,1,0,1,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768950162362/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768950162362/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768950162362/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768950162362/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768950162362/tool_error_context.jsonl,0,0,
codex-shell_unprimed-hn_api_cache_ttl-trial-1768950670058,2026-01-20T23:11:10.058375+00:00,2026-01-20T23:15:48.668911+00:00,codex,codex_cli,shell_unprimed,hn_api_cache_ttl,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.068}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 46.369}]",0,230.6837980747223,,26491,92288,0,,3665,0.1976912,ccusage,0.25917325,0.06148205000000001,0.7769723604340835,0.0024307499999999998,0.19526045,2,0,0,171.882317,0,2,1,0,1,0,1,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950670058/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950670058/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950670058/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950670058/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950670058/tool_error_context.jsonl,0,0,
codex-shell_unprimed-hn_api_cache_ttl-trial-1768950951473,2026-01-20T23:15:51.473093+00:00,2026-01-20T23:21:14.817572+00:00,codex,codex_cli,shell_unprimed,hn_api_cache_ttl,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.061}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 45.527}]",0,276.2480959892273,,42531,162944,0,,5453,0.32948265,ccusage,0.43592325,0.1064406,0.7930113152451637,0.0024307499999999998,0.3270519,3,0,0,201.971844,1,2,1,0,3,0,3,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950951473/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950951473/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950951473/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950951473/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768950951473/tool_error_context.jsonl,0,0,
codex-shell_unprimed-hn_offline_api_refactor-trial-1768951277564,2026-01-20T23:21:17.564765+00:00,2026-01-20T23:25:12.507516+00:00,codex,codex_cli,shell_unprimed,hn_offline_api_refactor,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.076}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 46.198}]",0,186.99549293518066,,39006,88960,0,,1684,0.186739,ccusage,0.24751649999999997,0.060777499999999984,0.6951846584248941,0.0024307499999999998,0.18430824999999998,3,0,0,119.893074,1,2,1,0,2,0,2,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951277564/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951277564/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951277564/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951277564/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951277564/tool_error_context.jsonl,0,0,
codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768951515184,2026-01-20T23:25:15.184201+00:00,2026-01-20T23:27:52.204284+00:00,codex,codex_cli,shell_unprimed,feature_from_task_md_fix_tests,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.068}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 44.284}, {'type': 'ios_install_check', 'ok': True, 'reason': None, 'duration_sec': 0.419}, {'type': 'ios_launch_check', 'ok': True, 'reason': None, 'duration_sec': 0.743}]",0,108.91603112220764,,28238,67584,0,,1616,0.13359465,ccusage,0.1903125,0.056717849999999986,0.7053077581348751,0.0024307499999999998,0.1311639,1,1,1,105.169155,0,1,0,0,1,0,1,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768951515184/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768951515184/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768951515184/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768951515184/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-feature_from_task_md_fix_tests-trial-1768951515184/tool_error_context.jsonl,0,0,
codex-shell_unprimed-hn_api_cache_ttl-trial-1768951675221,2026-01-20T23:27:55.221901+00:00,2026-01-20T23:32:38.402715+00:00,codex,codex_cli,shell_unprimed,hn_api_cache_ttl,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.059}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 45.507}]",0,235.60724115371704,,41090,92928,0,,4341,0.26773285,ccusage,0.2953055,0.027572649999999976,0.6933993941112387,0.0024307499999999998,0.26530210000000004,2,0,0,183.945239,0,2,1,0,1,0,1,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768951675221/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768951675221/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768951675221/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768951675221/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_api_cache_ttl-trial-1768951675221/tool_error_context.jsonl,0,0,
codex-shell_unprimed-hn_offline_api_refactor-trial-1768951961253,2026-01-20T23:32:41.253986+00:00,2026-01-20T23:36:45.228963+00:00,codex,codex_cli,shell_unprimed,hn_offline_api_refactor,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.069}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 45.754}]",0,196.65316224098206,,39050,94464,0,,1835,0.1931664,ccusage,0.2593395,0.06617310000000001,0.7075213086268106,0.0024307499999999998,0.19073564999999998,3,0,0,130.232096,1,2,1,0,2,0,2,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951961253/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951961253/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951961253/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951961253/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768951961253/tool_error_context.jsonl,0,0,
codex-shell_unprimed-hn_offline_api_refactor-trial-1768952421454,2026-01-20T23:40:21.454322+00:00,2026-01-20T23:44:37.857582+00:00,codex,codex_cli,shell_unprimed,hn_offline_api_refactor,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.06}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 45.524}]",0,208.88850378990173,,35745,116352,0,,1705,0.18702775,ccusage,0.29003975,0.10301199999999999,0.7649855026726365,0.0024307499999999998,0.18459699999999998,3,0,0,135.939219,1,2,1,0,2,0,2,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768952421454/transcript.txt,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768952421454/agent_output.json,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768952421454/cmd_log.jsonl,,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768952421454/tool_errors.jsonl,/Users/cameroncooke/Developer/mcp_evals/runs/20260120_225600/trials/codex-shell_unprimed-hn_offline_api_refactor-trial-1768952421454/tool_error_context.jsonl,0,0,
